year,stats,number_of_movies,budget,total_revenue,best_seller
1993,, 231," $20,912,140"," $7,926,165,719", Jurassic Park
1992,, 219," $25,363,889"," $6,924,488,361", Aladdin
1991,, 231," $21,512,700"," $6,176,047,332", Terminator 2: Judgment Day
1990,, 233," $27,132,069"," $6,638,546,447", Ghost
1989,, 230," $18,489,091"," $5,810,456,623", Indiana Jones and the Last Crusade
1988,, 242," $15,031,250"," $4,756,374,477", Rain Man
1987,, 249," $14,015,714"," $4,094,878,985", Fatal Attraction
1986,, 247," $14,592,647"," $3,589,538,906", Top Gun
1985,, 228," $13,193,333"," $3,802,509,449", Back to the Future
1984,, 214," $15,742,857"," $3,873,988,302", Indiana Jones and the Temple of Doom
1983,, 200," $13,091,615"," $3,160,584,615", Star Wars Ep. VI: Return of the Jedi
1982,, 172," $12,093,548"," $3,503,899,020", ET: The Extra-Terrestrial
1981,, 174," $12,860,000"," $2,848,040,157", Raiders of the Lost Ark
1980,, 164," $13,493,103"," $2,892,584,840", Star Wars Ep. V: The Empire Strikes Back
1979,, 138," $14,142,778"," $2,432,737,847", Moonraker
1978,, 94," $13,178,846"," $2,240,707,622", Grease
1977,, 83," $10,512,500"," $2,685,431,064", Star Wars Ep. IV: A New Hope
1976,, 82," $4,990,909"," $1,167,880,149", Rocky
1975,, 93," $4,662,500"," $1,227,427,870", Jaws
1974,, 90," $5,203,333"," $1,224,844,854", Towering Inferno
1973,, 80," $4,401,754"," $1,303,365,177", The Exorcist
1972,, 81," $2,426,500"," $832,405,519", The Godfather
1971,, 85," $3,705,556"," $640,658,545", Diamonds Are Forever
1970,, 103," $9,751,304"," $746,306,318", Love Story
1969,, 82," $8,945,455"," $657,199,666", Butch Cassidy and the Sundance Kid
1968,, 76," $4,735,111"," $635,614,632", 2001: A Space Odyssey
1967,, 76," $4,000,000"," $929,878,767", The Jungle Book
1966,, 71," $4,796,300"," $423,376,130", The Bible
1965,, 60," $8,300,000"," $820,154,487", The Sound of Music
1964,, 58," $6,185,000"," $554,849,300", Goldfinger
1963,, 57," $9,948,250"," $506,897,823", Cleopatra
1962,, 63," $6,970,000"," $296,021,239", Lawrence of Arabia
1961,, 52," $3,580,000"," $464,456,293", 101 Dalmatians
1960,, 59," $6,800,000"," $250,782,581", Spartacus
1959,, 44," $6,595,962"," $271,895,140", Ben-Hur
1958,, 34," $3,000,000"," $142,825,025", South Pacific
1957,, 50," $2,780,000"," $138,272,050", The Bridge on the River Kwai
1956,, 53," $4,274,000"," $273,372,256", The Ten Commandments
1955,, 43," $1,388,500"," $198,336,998", Lady and the Tramp
1954,, 58," $3,636,667"," $235,360,759", White Christmas
1953,, 44," $2,128,000"," $232,952,028", Peter Pan
1952,, 30," $2,423,333"," $80,254,249", The Greatest Show on Earth
1951,, 41," $2,958,333"," $112,679,093", Quo Vadis?
1950,, 32," $3,334,393"," $320,010,950", Cinderella
1949,, 38," $1,300,000"," $83,075,327", Samson and Delilah
1948,, 41," $3,350,000"," $68,125,249", The Snake Pit
1947,, 38," $2,000,000"," $87,473,938", Forever Amber
1946,, 40," $3,242,200"," $243,894,768", Song of the South
1945,, 36," $1,636,667"," $126,719,804", The Bells of St. Mary's
1944,, 23," $3,780,500"," $38,224,606", Going My Way
1943,, 27," $1,833,000"," $76,361,348", This is the Army
1942,, 27," $496,000"," $322,105,954", Bambi
1941,, 31," $1,250,000"," $34,985,352", Sergeant York
1940,, 28," $1,964,312"," $189,711,640", Pinocchio
1939,, 31," $2,725,667"," $437,094,831", Gone with the Wind
1938,, 22," $1,822,000"," $13,945,659", You Can't Take It With You
1937,, 27," $1,488,000"," $197,241,911", Snow White and the Seven Dwarfs
1936,, 22," $1,333,333"," $16,610,742", How to Become a Detective
1935,, 20," $609,000"," $3,202,000", Top Hat
1934,, 21," $325,000"," $3,625,176", It Happened One Night
1933,, 19," $437,000"," $14,281,650", King Kong
1932,, 18,," $8,973", The Old Dark House
1931,, 20," $558,000"," $16,980,558", Frankenstein
1930,, 18," $4,000,000"," $11,118,204", Tom Sawyer
1929,, 22," $379,000"," $7,087,611", The Broadway Melody
1928,, 11,," $11,231,298", The Singing Fool
1927,, 11," $2,000,000"," $4,229,216", The Jazz Singer
1926,, 7,," $3,002,993", Aloma of the South Seas
1925,, 14," $2,072,500"," $31,051,198", The Big Parade
1924,, 6,," $18,835", Der m?de Tod
1923,, 5,," $3,800,000", The Covered Wagon
1922,, 4,,,
1921,, 4,," $11,704,713", The Four Horsemen of the Apocalypse
1920,, 4," $100,000"," $3,000,000", Over the Hill to the Poorhouse
1919,, 1,,,
1918,, 2,," $9,685", Godovshchina revolyutsii
1916,, 5," $292,954"," $8,000,000"," 20,000 Leagues Under the Sea"
1915,, 3," $110,000"," $11,000,000", The Birth of a Nation
1902,, 1,," $45,353", Le Voyage dans la Lune
